Distance,Height ,Hand,Ball,Success,Student
2,135,underhand,,1,8
4,135,underhand,,0,8
4,135,underhand,,0,8
4,135,underhand,,0,8
4,135,underhand,,0,8
4,135,underhand,,0,8
4,135,underhand,,1,8
4,135,underhand,,0,8
4,135,underhand,,1,8
4,135,underhand,,1,8
4,135,underhand,,1,8
8,135,underhand,,0,8
8,135,underhand,,1,8
8,135,underhand,,0,8
8,135,underhand,,0,8
8,135,underhand,,0,8
8,135,underhand,,0,8
8,135,underhand,,0,8
8,135,underhand,,0,8
8,135,underhand,,0,8
8,135,underhand,,0,8
